book_id,file_name,title_guess,category_guess,source_type,priority,size_mb,modified_at,extract_status,processing_status,notes
book_f30ed949b1d9,Rahasia Analisis Fundamental Saham - Raymond Budiman.pdf,Rahasia Analisis Fundamental Saham Raymond Budiman,fundamental_analysis,fundamental_reference,medium_high,46.34,2026-06-23T14:50:54+07:00,pending,not_processed,
book_86c4c87583dd,Rasio Penting Dalam Menilai Perusahaan.pdf,Rasio Penting Dalam Menilai Perusahaan,fundamental_analysis,fundamental_reference,medium_high,0.37,2026-06-23T14:50:48+07:00,pending,not_processed,
book_54d837837ba2,Sebuah Seni untuk Bersikap Bodo Amat - Mark Manson.pdf,Sebuah Seni untuk Bersikap Bodo Amat Mark Manson,supporting,supporting_reference,medium,9.77,2026-06-23T14:50:56+07:00,pending,not_processed,
book_a56ed7d02485,Secrets for Profiting in Bull and Bear Markets - Stan Weinsteins.pdf,Secrets for Profiting in Bull and Bear Markets Stan Weinsteins,supporting,supporting_reference,medium,9.61,2026-06-23T14:51:53+07:00,pending,not_processed,
book_3c2ba1a88f91,Security Analysis - Ben Graham.pdf,Security Analysis Ben Graham,supporting,supporting_reference,medium,3.22,2026-06-23T14:52:42+07:00,pending,not_processed,
book_4c492fa572ae,Seeking Wisdom From Darwin To Munger -Peter Bevelin.pdf,Seeking Wisdom From Darwin To Munger Peter Bevelin,supporting,supporting_reference,medium,12.26,2026-06-23T14:52:50+07:00,pending,not_processed,
book_54b2d35b04dd,"Simple Trading, Simple Investing (BM) - Ryan Filbert Team.pdf","Simple Trading, Simple Investing (BM) Ryan Filbert Team",investment_management,investment_reference,medium,19.38,2026-06-23T14:52:57+07:00,pending,not_processed,
book_ae2d99d758a4,Stock Market 101 - Michele Cagan.pdf,Stock Market 101 Michele Cagan,supporting,supporting_reference,medium,3.44,2026-06-23T14:53:13+07:00,pending,not_processed,
book_7b0fd47b9791,Street Investing - Parahita Irawan.pdf,Street Investing Parahita Irawan,investment_management,investment_reference,medium,4.32,2026-06-23T14:53:17+07:00,pending,not_processed,
book_bddbe2825294,"Structures, Volume Profile and Order Flow Trading - Wyckoff.pdf","Structures, Volume Profile and Order Flow Trading Wyckoff",volume_price_analysis,volume_reference,high,29.57,2026-06-23T14:53:40+07:00,pending,not_processed,
book_6adffe96d3d0,Swing Trading for dummies - Omar Bassal.pdf,Swing Trading for dummies Omar Bassal,supporting,supporting_reference,medium,4.67,2026-06-23T14:53:43+07:00,pending,not_processed,
book_53a7a04711da,Technical Analysis for Mega Profit - Edianto Ong.pdf,Technical Analysis for Mega Profit Edianto Ong,supporting,supporting_reference,medium,19.41,2026-06-23T14:53:52+07:00,pending,not_processed,
book_b8f8ae56e1f7,The Deals Of Warren Buffet Volume 1 - Glen Arnold (Bhs Indonesia).pdf,The Deals Of Warren Buffet Volume 1 Glen Arnold (Bhs Indonesia),volume_price_analysis,volume_reference,high,8.1,2026-06-23T14:54:11+07:00,pending,not_processed,
book_020cf4942db0,The Fundamental Puzzle - Parahita Irawan.pdf,The Fundamental Puzzle Parahita Irawan,fundamental_analysis,fundamental_reference,medium_high,1.37,2026-06-23T14:54:11+07:00,pending,not_processed,
book_ce0a9b16f99c,The Intelligent Investor - Benjamin Graham.pdf,The Intelligent Investor Benjamin Graham,supporting,supporting_reference,medium,5.55,2026-06-23T14:54:20+07:00,pending,not_processed,
book_7f62c7aa43b0,The Little Book That Beats the Market - Joel Greenblatt.pdf,The Little Book That Beats the Market Joel Greenblatt,supporting,supporting_reference,medium,2.09,2026-06-23T14:54:33+07:00,pending,not_processed,
book_ae686a7e0ac7,The Psychology of Money - Morgan Houssel.pdf,The Psychology of Money Morgan Houssel,psychology,education_reference,medium,9.05,2026-06-23T14:54:40+07:00,pending,not_processed,
book_56d70f7efd80,"The Tao of Warren Buffett - Mary Buffet, David Clark.pdf","The Tao of Warren Buffett Mary Buffet, David Clark",supporting,supporting_reference,medium,0.74,2026-06-23T14:54:59+07:00,pending,not_processed,
book_b8746ec5820d,The Warren Buffett Way - Robert G Hagstrom.pdf,The Warren Buffett Way Robert G Hagstrom,supporting,supporting_reference,medium,1.7,2026-06-23T14:55:03+07:00,pending,not_processed,
book_b50cd4a1673c,Trade Like A Stock Master Wizard - Mark Minervini.pdf,Trade Like A Stock Master Wizard Mark Minervini,supporting,supporting_reference,medium,10.44,2026-06-23T14:55:32+07:00,pending,not_processed,
book_71ddfd78e6c3,Warren Buffett Speaks - Janet Lowe.pdf,Warren Buffett Speaks Janet Lowe,supporting,supporting_reference,medium,0.73,2026-06-23T14:55:28+07:00,pending,not_processed,
book_92088258697a,Who Wants to be A Smiling Investor - Lukas SA.pdf,Who Wants to be A Smiling Investor Lukas SA,supporting,supporting_reference,medium,24.9,2026-06-23T14:56:19+07:00,pending,not_processed,
book_26d86d73a07e,Why Didn't They Teach Me This in School - Cary Siegel.pdf,Why Didn't They Teach Me This in School Cary Siegel,supporting,supporting_reference,medium,1.52,2026-06-23T14:56:20+07:00,pending,not_processed,
book_5c60ca020404,Workbook Analisis Teknikal - Ryan Filbert.pdf,Workbook Analisis Teknikal Ryan Filbert,supporting,supporting_reference,medium,21.18,2026-06-23T14:56:27+07:00,pending,not_processed,
book_15e4b4cd60e0,Yuk Nabung Saham - Lukas SA.pdf,Yuk Nabung Saham Lukas SA,supporting,supporting_reference,medium,2.73,2026-06-23T14:56:36+07:00,pending,not_processed,
book_fdb8750790a6,Zero to One - Peter Thiel.pdf,Zero to One Peter Thiel,supporting,supporting_reference,medium,16.31,2026-06-23T14:56:44+07:00,pending,not_processed,
